id,product_category,product_name,price,price_unit
254,Psychology,A Practical Guide to Finding Treatments That Work for People with Autism,11.99,USD
255,Psychology,Flexible and Focused,7.49,USD
256,Social Sciences,Transliteracy in Complex Information Environments,9.49,USD
257,Social Sciences,Beyond Mentoring,7.99,USD
258,Social Sciences,Social Media in the Marketing Context,9.89,USD
259,Social Sciences,Capital Market Integration in South Asia,9.59,USD
260,Specialty Surgery,"Blumgart's Surgery of the Liver, Biliary Tract and Pancreas, 2-Volume Set (Sixth Edition)",6.69,USD
261,"Agricultural, Biological, and Food Sciences",Baking Problems Solved (Second Edition),5.99,USD
262,"Agricultural, Biological, and Food Sciences",Agricultural Systems (Second Edition),7.99,USD
263,"Agricultural, Biological, and Food Sciences",Nanotechnology Applications in Food,6.49,USD
264,"Agricultural, Biological, and Food Sciences",Emerging Nanotechnologies in Food Science,8.89,USD
265,"Agricultural, Biological, and Food Sciences",Practical Guide to Vegetable Oil Processing (Second Edition),7.89,USD
266,"Biochemistry, Genetics and Molecular Biology",Bioprinting,12.99,USD
267,Biomedical Science and Medicine,The HDL Handbook (Third Edition),8.99,USD
268,Chemical Engineering,Glycerol,9.99,USD
269,Chemical Engineering,Lead-Acid Batteries for Future Automobiles,9.79,USD
270,Chemical Engineering,Membrane Characterization,7.99,USD
271,Chemistry,Supercritical Fluid Chromatography,6.56,USD
272,Computer Science,Usability Testing for Survey Research,7.99,USD
273,Computer Science,Designing User Interfaces for an Aging Population,6.99,USD
274,Earth and Planetary Sciences,How to Become an International Disaster Volunteer,5.49,USD
275,Engineering,Strengthening of Concrete Structures using Fiber Reinforced Polymers (FRP),4.89,USD
276,Engineering,"Project Management, Planning and Control (Seventh Edition)",6.99,USD
277,Engineering,Aeroacoustics of Low Mach Number Flows,6.49,USD
278,Forensics and Security,Global Supply Chain Security and Management,8.59,USD
279,Forensics and Security,Human Remains: Another Dimension,9.39,USD
280,Immunology and Microbiology,The Innate Immune System,4.99,USD
281,Materials Science,Applications of Nanofluid for Heat Transfer Enhancement,6.99,USD
282,Materials Science,Nanostructures for Novel Therapy,10.99,USD
283,Neuroscience,Addictive Substances and Neurological Disease,4.99,USD
284,Neuroscience,Hearing Loss,7.99,USD
285,"Pharmacology, Toxicology and Pharmaceutical Science",Adverse Effects of Engineered Nanomaterials (Second Edition),5.99,USD
286,Psychology,Boundaries of Self and Reality Online,6.89,USD
287,Psychology,"Music, Passion, and Cognitive Function",7.49,USD
288,Social Sciences,Innovation in Public Libraries,7.99,USD
289,"Agricultural, Biological, and Food Sciences",Foodborne Diseases (Third Edition),5.59,USD
290,"Agricultural, Biological, and Food Sciences",New Pesticides and Soil Sensors,7.59,USD
291,"Agricultural, Biological, and Food Sciences",Water Purification,4.6,USD
292,"Agricultural, Biological, and Food Sciences",Nanobiosensors,6.79,USD
293,"Agricultural, Biological, and Food Sciences",Food Packaging,6.69,USD
294,"Agricultural, Biological, and Food Sciences",Conceptual Breakthroughs in Ethology and Animal Behavior,8.99,USD
295,Biomedical Science and Medicine,Translational Advances in Gynecologic Cancers,9.49,USD
296,Earth and Planetary Sciences,Theory of Electromagnetic Well Logging,7.99,USD
297,Earth and Planetary Sciences,"Origins of the Earth, Moon, and Life",9.29,USD
298,Engineering,Cellular Actuators,9.49,USD
299,Engineering,Soil Mechanics,10.99,USD
300,Engineering,Path Planning for Vehicles Operating in Uncertain 2D Environments,10.99,USD
301,Forensics and Security,Creating Digital Faces for Law Enforcement,7.89,USD
302,Materials Science,Steels: Microstructure and Properties (Fourth Edition),7.69,USD
303,Materials Science,Plasma Etching Processes for CMOS Devices Realization,7.49,USD
304,Neuroscience,Nutritional Modulators of Pain in the Aging Population,7.99,USD
305,Neuroscience,Increasing Intelligence,7.79,USD
306,Psychology,Pediatric Disorders of Regulation in Affect and Behavior (Second Edition),4.19,USD
307,"Biochemistry, Genetics and Molecular Biology",PCR Guru,8.99,USD
308,Specialty Medicine,Zakim and Boyer's Hepatology (Seventh Edition),10.99,USD
309,Specialty Medicine,Evidence-Based Physical Diagnosis (Fourth Edition),9.99,USD
310,Specialty Medicine,Pulmonary Pathology (Second Edition),11.79,USD
311,Specialty Surgery,Clinical Orthopaedic Rehabilitation: a Team Approach (Fourth Edition),7.49,USD
312,Specialty Surgery,Operative Techniques: Spine Surgery (Third Edition),11.79,USD
313,Health Professions,"Oral, Head and Neck Oncology and Reconstructive Surgery",4.49,USD
314,Health Professions,Sedation,10.99,USD
315,Health Professions,Clinical Reasoning in Musculoskeletal Practice,12.99,USD
316,Health Professions,A Practical Guide to Fascial Manipulation,9.99,USD
317,Specialty Medicine,"Liu, Volpe, and Galetta’s Neuro-Ophthalmology",9.99,USD
318,Specialty Medicine,Plotkin's Vaccines,10.99,USD
319,Specialty Medicine,Hematology,10.69,USD
320,Specialty Medicine,Integrative Medicine,7.99,USD
321,Specialty Medicine,Gynecologic Pathology,5.99,USD
322,Specialty Medicine,Swaiman's Pediatric Neurology,7.99,USD
323,Specialty Medicine,Pathology of Melanocytic Tumors,7.79,USD
324,Specialty Medicine,Essential Echocardiography,8.99,USD
325,Specialty Medicine,Manual for Pulmonary and Critical Care Medicine,10.39,USD
326,Specialty Medicine,Nelson Pediatric Symptom-Based Diagnosis,8.99,USD
327,Specialty Medicine,Surgical Implantation of Cardiac Rhythm Devices,9.69,USD
328,Specialty Medicine,Atlas of Image-Guided Spinal Procedures,7.79,USD
329,Specialty Medicine,Goldberger's Clinical Electrocardiography,8.69,USD
330,Specialty Medicine,Principles and Practice of Pediatric Infectious Diseases,15.99,USD
331,Specialty Medicine,Cardiovascular Magnetic Resonance,8.99,USD
332,Specialty Medicine,Practical Hepatic Pathology: A Diagnostic Approach,8.99,USD
333,Specialty Medicine,Drugs for Pregnant and Lactating Women,4.29,USD
334,Specialty Medicine,Volpe's Neurology of the Newborn,6.99,USD
335,Specialty Medicine,Practical Pulmonary Pathology: A Diagnostic Approach,8.59,USD
336,Specialty Medicine,Obstetric Imaging: Expert Radiology,3.79,USD
337,Specialty Medicine,Diagnostic Pathology of Infectious Disease,9.69,USD
338,Specialty Medicine,Cardiac Electrophysiology: From Cell to Bedside,7.99,USD
339,Specialty Medicine,Practical Surgical Neuropathology: A Diagnostic Approach,9.59,USD
340,Specialty Medicine,The Interventional Cardiac Catheterization Handbook,3.49,USD
341,Specialty Medicine,Imaging in Pediatrics,8.99,USD
342,Specialty Medicine,Cardiology Secrets,10.99,USD
343,Specialty Medicine,Nephrology Secrets,3.39,USD
344,Specialty Medicine,Handbook of Liver Disease,3.69,USD
345,Specialty Medicine,Braddom’s Rehabilitation Care: A Clinical Handbook,3.99,USD
346,Specialty Medicine,Interstitial Lung Disease,6.59,USD
347,Specialty Medicine,Textbook of Clinical Hemodynamics,10.99,USD
348,Specialty Medicine,Current Management of Diabetic Retinopathy,4.69,USD
349,Specialty Medicine,Drug Allergy Testing,11.99,USD
350,Specialty Medicine,Personalized Medicine in Asthma,8.99,USD
351,Specialty Medicine,Urgent Care Dermatology: Symptom-Based Diagnosis,7.59,USD
352,Specialty Medicine,Imaging in Spine Surgery,7.99,USD
353,Specialty Medicine,Pediatric Cancer Genetics,3.99,USD
354,Specialty Medicine,Handbook of Legal Medicine,4.69,USD
355,Specialty Medicine,Sarcoidosis: A Specialist’s Guide,14.99,USD
356,Specialty Medicine,Heart Failure: Epidemiology and Research Methods,7.99,USD
357,Specialty Medicine,Practical Guide to Obesity Medicine,8.99,USD
358,Specialty Medicine,Music Therapy: Research and Evidence-Based Practice,12.99,USD
359,Specialty Medicine,Human Milk Composition,5.99,USD
360,Specialty Medicine,Skull Base Imaging,9.99,USD
361,Specialty Medicine,Lung Cancer: Evidence-Based Clinical Evaluation and Management,13.99,USD
362,Specialty Medicine,Challenging Neuropathic Pain Syndromes,6.85,USD
363,Specialty Medicine,PET/CT in Cancer: An Interdisciplinary Approach to Individualized Imaging,9.29,USD
364,Specialty Medicine,Arrhythmias in Adult Congenital Heart Disease,399.99,USD
365,Specialty Medicine,State-of-the-Art Treatment of Osteoarthritis: A Practical Guide,44.99,USD
366,Specialty Medicine,Peters' Atlas of Tropical Medicine and Parasitology,39.99,USD
367,Specialty Medicine,Essentials of Global Health,16.99,USD
368,Specialty Medicine,MacSween's Pathology of the Liver,39.99,USD
369,Specialty Medicine,Diagnosis and Management of Adult Congenital Heart Disease,79.99,USD
370,Specialty Medicine,Community Pharmacy,79.99,USD
371,Specialty Medicine,Aulton's Pharmaceutics,79.99,USD
372,Specialty Medicine,Medical Pharmacology and Therapeutics,74.99,USD
373,Specialty Medicine,Diagnostic Atlas of Cutaneous Mesenchymal Neoplasia,17.99,USD
374,Specialty Surgery,Disorders of the Rotator Cuff and Biceps Tendon,79.99,USD
375,Specialty Surgery,Neurocritical Care Management of the Neurosurgical Patient,28.99,USD
376,Specialty Surgery,Master Techniques in Facial Rejuvenation,39.99,USD
377,Specialty Surgery,The Anterior Cruciate Ligament,79.99,USD
378,Specialty Surgery,Aesthetic Surgery Techniques,109.99,USD
379,Specialty Surgery,Principles of Gynecologic Oncology Surgery,11.89,USD
380,Specialty Surgery,Principles of Neurological Surgery,9.79,USD
381,Specialty Surgery,Operative Techniques: Knee Surgery,10.49,USD
